feature,importance,mean,std,min,max
t058_stroke_progress,0.0030532504754393923,2.5627111348497915,0.6739150597639838,1.0,5.123194694519043
t035_y_max,0.003048445198322902,0.4649360664922603,0.3645546100001688,0.0,1.0
t022_y_max,0.003021757836054063,0.34208413707008917,0.3566557297225621,0.0,1.0
t021_y_max,0.003011724454130705,0.3488130926453245,0.3612875779141436,0.0,1.0
t001_x_min,0.0030015372198847192,0.5135284397528466,0.3594701888550283,0.0,1.0
t034_y_mean,0.0029712524978444347,0.4498963862585193,0.363043618606734,0.0,1.0
t056_stroke_length,0.002964706573167587,2.4530687297957825,0.683531140286098,0.8460401892662048,4.793737888336182
t004_x_max,0.0029465506099362456,0.5171609209739118,0.35654490251933535,0.0,1.0
t055_stroke_progress,0.0029313441636432385,2.395355211643584,0.6813854672709274,0.8460401892662048,4.702391147613525
t049_y_min,0.0029138073894176,0.578939346783698,0.3951744916687537,0.0,1.0
t057_cumulative_distance,0.0029122707032434142,2.528871604740857,0.6792274443509829,1.0,4.793737888336182
t003_x_mean,0.0027917983845659623,0.5147950004496838,0.3574330660387237,0.0,1.0
t033_x_max,0.002786067237727392,0.6265132258349354,0.3043544804259379,0.0,1.0
t029_y_min,0.002781703527420358,0.37922063120900545,0.35707450731349766,0.0,1.0
t044_y_min,0.002760674185420817,0.5428963991129712,0.37968748400694435,0.0,1.0
t053_stroke_progress,0.0027499296726396,2.293787777898796,0.6690761526077407,0.5870339274406433,4.630758762359619
t041_y_max,0.002743846698783686,0.520298793383566,0.3694053325116905,0.0,1.0
t001_x_mean,0.002725004287032684,0.5135284415572378,0.35947019005103337,0.0,1.0
t037_y_mean,0.002706227162358648,0.48769134610707676,0.3655383912993909,0.0,1.0
t046_y_min,0.002691063501952885,0.5588046980672979,0.3865058142234849,0.0,1.0
t025_x_min,0.002688498430763077,0.610082472644494,0.33416446158786584,0.0,1.0
t023_y_min,0.0026743137189159092,0.33810971170576637,0.3516035416022432,0.0,1.0
t056_y_min,0.002630135565210697,0.6446073718001673,0.40745178917799524,0.0,1.0
t033_y_mean,0.002608350138319646,0.43785369257438944,0.36379784452485847,0.0,1.0
t001_x_max,0.0026066814848294366,0.5135284397528466,0.3594701888550283,0.0,1.0
t002_x_max,0.002605326647472478,0.5141802362318474,0.3589982919346051,0.0,1.0
t032_y_mean,0.002554096855056077,0.42559586677781913,0.3618312540820902,0.0,1.0
t042_y_mean,0.0025068196046564087,0.5265884401748863,0.3711202473421415,0.0,1.0
t059_y_max,0.0024995035831999143,0.6759374802768884,0.4074497105752291,0.0097751710563898,1.0
t052_x_max,0.0024903241898984406,0.5096634970206129,0.3044665993092318,0.0,1.0
t053_x_mean,0.002477992186151916,0.4692208001330732,0.3082552964059686,0.0,1.0
t039_y_min,0.0024691777006608587,0.505006625992617,0.36553669673112765,0.0,1.0
t027_stroke_progress,0.002466101111384071,1.2702098047915618,0.6141934307461139,0.0,2.739521026611328
t038_y_mean,0.0024442154782205717,0.4977670644984146,0.36654571616814424,0.0,1.0
t021_y_min,0.0024386489829652668,0.3488130926453245,0.3612875779141436,0.0,1.0
t007_y_min,0.002432943828712003,0.21165815508058036,0.2499771752777589,0.0,1.0
t026_cumulative_distance,0.0024137628570507974,1.2351589683588884,0.6234092440306351,0.0,2.543318748474121
t033_x_min,0.0023931523748675974,0.6265132258349354,0.3043544804259379,0.0,1.0
t030_x_max,0.0023624489471389277,0.6311811082881404,0.318316616871451,0.0,1.0
t055_x_mean,0.002344954877539649,0.3824534560423864,0.3066889241549936,0.0,1.0
t029_x_mean,0.002329535478725847,0.6264928292019285,0.32579643213006293,0.0,1.0
t027_y_mean,0.0023160377946752435,0.3639709342231202,0.35326265126402645,0.0,1.0
t002_x_mean,0.0023154092107414677,0.5141802380303018,0.35899829297829006,0.0,1.0
t035_y_min,0.002287244011961612,0.4649360664922603,0.3645546100001688,0.0,1.0
t053_x_max,0.002281829644293491,0.4692208010488119,0.3082552981373186,0.0,1.0
t005_x_min,0.0022607447783025746,0.522951725921946,0.35451455815323746,0.0,1.0
t041_y_min,0.0022350198220306315,0.520298793383566,0.3694053325116905,0.0,1.0
t000_x_max,0.002214983838321765,0.5132451557350229,0.3593307051199586,0.0,1.0
t007_x_mean,0.0022012756979195966,0.5340578884543087,0.3512972620713404,0.0,1.0
t026_x_max,0.002190722037153769,0.6138061668538299,0.3338578230115224,0.0,1.0
t036_stroke_length,0.002183624277502353,1.6338974296675612,0.6087800870536623,0.0,3.5465924739837646
t031_y_mean,0.002182940292234993,0.41037126375544086,0.3613182506448568,0.0,1.0
t029_x_min,0.0021823440138842285,0.6264928284728254,0.32579643130915387,0.0,1.0
t022_y_min,0.0021739063018911065,0.34208413707008917,0.3566557297225621,0.0,1.0
t035_cumulative_distance,0.0021677573570500802,1.5953736972338557,0.6029221577934821,0.0,3.5465924739837646
t027_x_min,0.0021322175138526263,0.6196626291955373,0.33100951692645003,0.0,1.0
t029_x_max,0.0021232741410892315,0.6264928284728254,0.32579643130915387,0.0,1.0
t006_x_mean,0.002096877868286412,0.5299092126676286,0.3534814576847918,0.0,1.0
t054_stroke_length,0.0020889753795707744,2.3442893751114013,0.677138550756727,0.8460401296615601,4.672733783721924
t003_x_min,0.0020858214884222847,0.5147949996170591,0.3574330654175931,0.0,1.0
t054_x_min,0.0020803805447023186,0.4275774622699654,0.30921122504387194,0.0,1.0
t004_x_min,0.0020750321125143846,0.5171609209739118,0.35654490251933535,0.0,1.0
t044_stroke_progress,0.0020659755281494693,1.9504212401836991,0.6426461944548985,0.0,4.032656669616699
t001_y_mean,0.002063580946350368,0.15298653991625782,0.2009549412075887,0.0,0.9774266481399536
t056_x_mean,0.0020633773414755327,0.333587096276437,0.3048754483556039,0.0,1.0
t003_y_mean,0.002040648454729655,0.16290268708972178,0.20856739574057837,0.0,1.0
t006_x_max,0.0020373618026634428,0.5299092107330008,0.3534814557762743,0.0,1.0
t027_x_mean,0.00203395206635503,0.6196626274994912,0.33100951551018004,0.0,1.0
t038_y_min,0.0020111782753335933,0.4977670638679167,0.36654571625350285,0.0,1.0
t052_stroke_length,0.0020111509620179754,2.24491202992747,0.6595950531080229,0.5870338082313538,4.630758762359619
t045_y_max,0.0019995277715158656,0.5532741255863417,0.38359652642495295,0.0,1.0
t031_y_min,0.0019876248920805443,0.41037126282959124,0.36131824967414516,0.0,1.0
t026_x_mean,0.001982870811836872,0.6138061652342192,0.33385782200596503,0.0,1.0
t007_x_max,0.0019783219914383094,0.5340578892732046,0.3512972620756352,0.0,1.0
t030_x_min,0.0019775066060598832,0.6311811082881404,0.318316616871451,0.0,1.0
t030_y_max,0.001973680383406839,0.40168679862958473,0.35905088791391176,0.0,1.0
t039_cumulative_distance,0.0019434172940498067,1.7599200736324627,0.6202199178622665,0.0,3.5465924739837646
t053_x_min,0.0019413835177684484,0.4692208010488119,0.3082552981373186,0.0,1.0
t004_y_mean,0.0019407532436874042,0.17106180889671113,0.21496122710053334,0.0,1.0
t032_x_mean,0.001932137564495413,0.6249549189370972,0.3092775641583993,0.0,1.0
t044_x_max,0.0019246583340348626,0.6253992584159234,0.3086524864094349,0.0,1.0
t000_x_mean,0.001924595130884851,0.5132451570778344,0.35933070620779617,0.0,1.0
