feature,importance
t048_delta_s,0.0008176894750103172
t033_vx,0.0008134421748272572
t028_x,0.0008112366128695593
t049_vy,0.0008064390111278549
t039_angle,0.0008045758562405607
t019_delta_s,0.0008009923993008501
t015_delta_s,0.000800254255330466
t032_delta_s,0.0007944192510928488
t013_delta_s,0.0007918343044844154
t020_angle,0.0007829887607533765
t027_vy,0.0007732067577758254
t033_vy,0.0007559323202102885
t025_angle,0.0007535138640984974
t027_y,0.0007479764883806745
t022_vy,0.0007469208367100031
t016_vx,0.0007326762477925635
t021_vy,0.0007234322078656601
t047_delta_s,0.0007111725492632004
t002_vx,0.0007018922807833244
t032_angle,0.000700709249243907
t015_angle,0.0006991324325757917
t035_delta_s,0.0006968132306473775
t013_vx,0.0006933630293222094
t011_x,0.000688507493780566
t034_vx,0.0006876657332889394
t011_delta_s,0.0006841122622775796
t011_angle,0.0006708922541785441
t031_active_points,0.0006695239001042923
t042_angle,0.0006602649163877347
t041_angle,0.0006586219082835614
t017_angle,0.0006521033411192905
t018_delta_s,0.0006512104941283664
t027_angle,0.0006482701717208779
t020_delta_s,0.0006468508248985013
t011_vy,0.0006356345128643043
t023_angle,0.0006283154225320896
t017_x,0.0006269265032985008
t038_vx,0.0006246351191251958
t003_vx,0.0005993846543111293
t026_x,0.0005983802860468071
t034_delta_s,0.0005976826222624402
t014_vy,0.0005939195921849024
t031_pressure,0.0005922392041036691
t027_delta_s,0.0005790709143541021
t046_delta_s,0.0005755337346770811
t024_vy,0.0005746332108016091
t048_x,0.0005690057594494028
t004_angle,0.0005603959632534733
t001_angle,0.0005586839239027003
t017_delta_s,0.000558251136569127
t026_angle,0.000556016532624156
t006_angle,0.0005543295259345892
t038_delta_s,0.0005509008730733492
t018_angle,0.0005392443786783266
t031_delta_s,0.0005319878604169689
t039_vx,0.0005292710143329119
t018_y,0.000515117355577671
t034_vy,0.0005125338104270662
t029_x,0.0005072428882742931
t031_angle,0.0004947581338007036
t037_vx,0.00049321856066489
t048_active_points,0.0004881793577011995
t035_vx,0.0004875549615689189
t043_angle,0.0004835255383598316
t029_delta_s,0.0004708046976284822
t031_x,0.0004707506286900835
t033_angle,0.0004625607913384793
t023_delta_s,0.0004575636512730779
t015_vy,0.00044907192412164726
t032_active_points,0.0004490133903981886
t045_angle,0.00044526954643600873
t029_angle,0.0004220902240714441
t049_angle,0.0004209694679936996
t001_vx,0.00041695883876717316
t013_x,0.00040532272827191457
t015_vx,0.0003988358644369897
t002_angle,0.0003961216262660415
t035_pressure,0.0003894582052546392
t047_x,0.0003888267844964483
t006_delta_s,0.0003835293604866234
t044_delta_s,0.0003815656287993257
t033_delta_s,0.00038051216539925403
t037_vy,0.0003787284126195054
t038_vy,0.000377189722316116
t032_x,0.00037655875810967414
t025_x,0.00036290092901033414
t043_vx,0.00035662464140789033
t048_angle,0.00035148577544974013
t049_delta_s,0.00035093196293854717
t023_vy,0.0003498639334935312
t036_delta_s,0.00034924722705304733
t001_vy,0.0003428916387176975
t001_delta_s,0.0003420169873483912
t045_delta_s,0.00033662817366085203
t003_delta_s,0.00031923468808617636
t030_angle,0.00031335785115981
t039_delta_s,0.0003039050994319418
t042_delta_s,0.00029801484174309724
